No_Struk,Tanggal,Waktu,Kasir,Menu,Kategori,Harga_Satuan,Jumlah,Subtotal,Total_Transaksi,Metode_Pembayaran
-20250417-0001,2025-04-17,13:41:59,valencia,Gelato,Dessert,12000,2,24000,24000,Debit
-20250417-0002,2025-04-17,16:44:13,valencia,Smoothie Kiwi,Smoothie,17000,1,17000,17000,QRIS
-20250417-0003,2025-04-17,14:50:56,valencia,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250417-0004,2025-04-17,15:41:02,val,Cheesecake,Dessert,15000,2,30000,30000,Debit
-20250417-0005,2025-04-17,12:19:43,val,Cappucino,Kopi,15000,2,30000,30000,QRIS
-20250418-0001,2025-04-18,20:33:04,val,Gelato,Dessert,12000,1,12000,12000,Tunai
-20250418-0002,2025-04-18,12:22:39,val,Lasagna,Pasta,25000,3,75000,75000,Tunai
-20250418-0003,2025-04-18,21:36:51,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250418-0004,2025-04-18,19:16:43,val,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250418-0005,2025-04-18,14:27:37,val,Kentang Goreng,Camilan,12000,1,12000,12000,Tunai
-20250419-0001,2025-04-19,09:25:37,valencia,Lasagna,Pasta,25000,2,50000,50000,Debit
-20250419-0002,2025-04-19,17:36:10,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250419-0003,2025-04-19,19:47:08,valencia,Kopi Tubruk,Kopi,8000,1,8000,8000,QRIS
-20250419-0004,2025-04-19,15:07:58,valencia,Americano,Kopi,12000,3,36000,36000,Debit
-20250419-0005,2025-04-19,12:55:39,valencia,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250420-0001,2025-04-20,10:48:53,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,Debit
-20250420-0002,2025-04-20,19:35:58,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Debit
-20250420-0003,2025-04-20,10:14:20,valencia,Latte,Kopi,15000,5,75000,75000,Debit
-20250420-0004,2025-04-20,12:15:48,val,Americano,Kopi,12000,2,24000,24000,Tunai
-20250420-0005,2025-04-20,10:23:23,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,QRIS
-20250421-0001,2025-04-21,21:03:53,valencia,Smoothie Kiwi,Smoothie,17000,3,51000,51000,QRIS
-20250421-0002,2025-04-21,18:29:00,val,Espresso,Kopi,10000,4,40000,40000,QRIS
-20250421-0003,2025-04-21,10:26:21,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Tunai
-20250421-0004,2025-04-21,15:34:53,valencia,Espresso,Kopi,10000,4,40000,40000,Tunai
-20250421-0005,2025-04-21,17:10:06,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Debit
-20250422-0001,2025-04-22,17:45:59,valencia,Latte,Kopi,15000,4,60000,60000,Debit
-20250422-0002,2025-04-22,15:14:15,val,Kopi Tubruk,Kopi,8000,3,24000,24000,QRIS
-20250422-0003,2025-04-22,21:49:45,valencia,Kopi Tubruk,Kopi,8000,1,8000,8000,Tunai
-20250422-0004,2025-04-22,20:27:59,val,Latte,Kopi,15000,1,15000,15000,QRIS
-20250422-0005,2025-04-22,15:34:58,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,Tunai
-20250423-0001,2025-04-23,10:00:21,valencia,Espresso,Kopi,10000,3,30000,30000,Tunai
-20250423-0002,2025-04-23,10:29:12,valencia,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250423-0003,2025-04-23,21:29:11,val,Cappucino,Kopi,15000,1,15000,15000,Debit
-20250423-0004,2025-04-23,17:12:33,val,Spagetti,Pasta,20000,2,40000,40000,QRIS
-20250423-0005,2025-04-23,09:09:03,valencia,Smoothie Kiwi,Smoothie,17000,1,17000,17000,Tunai
-20250424-0001,2025-04-24,17:17:07,valencia,Lasagna,Pasta,25000,5,125000,125000,Tunai
-20250424-0002,2025-04-24,16:48:55,val,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250424-0003,2025-04-24,20:02:56,valencia,Espresso,Kopi,10000,1,10000,10000,Tunai
-20250424-0004,2025-04-24,16:41:38,val,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250424-0005,2025-04-24,12:41:21,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,Tunai
-20250425-0001,2025-04-25,09:21:41,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250425-0002,2025-04-25,09:11:56,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,QRIS
-20250425-0003,2025-04-25,11:58:31,valencia,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250425-0004,2025-04-25,13:52:28,val,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Tunai
-20250425-0005,2025-04-25,16:56:22,valencia,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Tunai
-20250426-0001,2025-04-26,17:28:30,valencia,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250426-0002,2025-04-26,10:43:56,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,Tunai
-20250426-0003,2025-04-26,20:15:53,valencia,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250426-0004,2025-04-26,18:39:39,valencia,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250426-0005,2025-04-26,16:16:52,val,Smoothie Berrie,Smoothie,18000,5,90000,90000,Debit
-20250427-0001,2025-04-27,09:19:40,valencia,Smoothie Alpukat,Smoothie,16000,5,80000,80000,QRIS
-20250427-0002,2025-04-27,19:14:14,valencia,Kopi Tubruk,Kopi,8000,4,32000,32000,Debit
-20250427-0003,2025-04-27,14:50:40,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,Tunai
-20250427-0004,2025-04-27,11:28:49,val,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250427-0005,2025-04-27,15:09:40,valencia,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,QRIS
-20250428-0001,2025-04-28,12:14:46,val,Kopi Tubruk,Kopi,8000,4,32000,32000,QRIS
-20250428-0002,2025-04-28,18:57:02,valencia,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250428-0003,2025-04-28,10:36:39,val,Spagetti,Pasta,20000,4,80000,80000,Tunai
-20250428-0004,2025-04-28,14:06:14,valencia,Smoothie Alpukat,Smoothie,16000,4,64000,64000,Tunai
-20250428-0005,2025-04-28,16:04:41,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,QRIS
-20250429-0001,2025-04-29,09:57:19,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,QRIS
-20250429-0002,2025-04-29,17:36:06,valencia,Gelato,Dessert,12000,1,12000,12000,Tunai
-20250429-0003,2025-04-29,19:48:47,valencia,Latte,Kopi,15000,5,75000,75000,Tunai
-20250429-0004,2025-04-29,13:21:43,valencia,Cappucino,Kopi,15000,4,60000,60000,Debit
-20250429-0005,2025-04-29,20:56:31,valencia,Lasagna,Pasta,25000,1,25000,25000,Debit
-20250430-0001,2025-04-30,11:37:52,val,Smoothie Alpukat,Smoothie,16000,3,48000,48000,Tunai
-20250430-0002,2025-04-30,14:01:45,valencia,Espresso,Kopi,10000,5,50000,50000,Debit
-20250430-0003,2025-04-30,17:26:18,valencia,Cappucino,Kopi,15000,5,75000,75000,Debit
-20250430-0004,2025-04-30,16:06:42,valencia,Lasagna,Pasta,25000,1,25000,25000,Debit
-20250430-0005,2025-04-30,12:01:13,valencia,Latte,Kopi,15000,5,75000,75000,QRIS
-20250401-0001,2025-04-01,11:18:11,val,Kopi Tubruk,Kopi,8000,1,8000,8000,QRIS
-20250401-0002,2025-04-01,15:13:22,val,Smoothie Kiwi,Smoothie,17000,3,51000,51000,QRIS
-20250401-0003,2025-04-01,20:20:17,valencia,Gelato,Dessert,12000,1,12000,12000,QRIS
-20250401-0004,2025-04-01,17:25:09,valencia,Cappucino,Kopi,15000,3,45000,45000,Tunai
-20250401-0005,2025-04-01,11:29:59,val,Smoothie Berrie,Smoothie,18000,3,54000,54000,QRIS
-20250402-0001,2025-04-02,09:14:27,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Debit
-20250402-0002,2025-04-02,11:27:20,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250402-0003,2025-04-02,13:56:47,val,Smoothie Berrie,Smoothie,18000,1,18000,18000,QRIS
-20250402-0004,2025-04-02,16:39:58,val,Kopi Tubruk,Kopi,8000,3,24000,24000,QRIS
-20250402-0005,2025-04-02,09:20:11,val,Latte,Kopi,15000,3,45000,45000,Tunai
-20250403-0001,2025-04-03,19:52:50,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250403-0002,2025-04-03,19:15:27,val,Latte,Kopi,15000,1,15000,15000,Debit
-20250403-0003,2025-04-03,17:37:24,valencia,Smoothie Berrie,Smoothie,18000,2,36000,36000,Debit
-20250403-0004,2025-04-03,19:07:07,val,Gelato,Dessert,12000,5,60000,60000,QRIS
-20250403-0005,2025-04-03,15:34:39,valencia,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250404-0001,2025-04-04,19:26:37,valencia,Americano,Kopi,12000,4,48000,48000,Debit
-20250404-0002,2025-04-04,14:04:24,valencia,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,QRIS
-20250404-0003,2025-04-04,12:07:16,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250404-0004,2025-04-04,13:34:53,valencia,Cheesecake,Dessert,15000,2,30000,30000,QRIS
-20250404-0005,2025-04-04,12:06:48,val,Americano,Kopi,12000,4,48000,48000,Debit
-20250405-0001,2025-04-05,13:03:37,valencia,Cheesecake,Dessert,15000,3,45000,45000,QRIS
-20250405-0002,2025-04-05,12:36:30,valencia,Americano,Kopi,12000,3,36000,36000,Tunai
-20250405-0003,2025-04-05,16:14:55,valencia,Kopi Tubruk,Kopi,8000,2,16000,16000,Debit
-20250405-0004,2025-04-05,11:32:11,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,Tunai
-20250405-0005,2025-04-05,16:19:30,valencia,Kentang Goreng,Camilan,12000,4,48000,48000,QRIS
-20250406-0001,2025-04-06,20:13:33,val,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250406-0002,2025-04-06,13:49:36,valencia,Smoothie Kiwi,Smoothie,17000,1,17000,17000,Tunai
-20250406-0003,2025-04-06,12:20:02,val,Espresso,Kopi,10000,3,30000,30000,Debit
-20250406-0004,2025-04-06,16:24:40,val,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Debit
-20250406-0005,2025-04-06,11:09:08,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250407-0001,2025-04-07,20:47:55,val,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Debit
-20250407-0002,2025-04-07,19:48:03,valencia,Smoothie Alpukat,Smoothie,16000,1,16000,16000,QRIS
-20250407-0003,2025-04-07,13:09:30,valencia,Americano,Kopi,12000,5,60000,60000,Debit
-20250407-0004,2025-04-07,18:48:02,valencia,Smoothie Kiwi,Smoothie,17000,5,85000,85000,Debit
-20250407-0005,2025-04-07,18:36:49,val,Kopi Tubruk,Kopi,8000,3,24000,24000,Debit
-20250408-0001,2025-04-08,15:33:18,val,Gelato,Dessert,12000,3,36000,36000,Debit
-20250408-0002,2025-04-08,11:46:42,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250408-0003,2025-04-08,17:39:47,valencia,Smoothie Kiwi,Smoothie,17000,4,68000,68000,QRIS
-20250408-0004,2025-04-08,18:57:28,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250408-0005,2025-04-08,20:22:12,val,Americano,Kopi,12000,5,60000,60000,QRIS
-20250409-0001,2025-04-09,18:49:07,val,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250409-0002,2025-04-09,10:19:15,val,Latte,Kopi,15000,1,15000,15000,Debit
-20250409-0003,2025-04-09,18:21:06,val,Lasagna,Pasta,25000,2,50000,50000,Tunai
-20250409-0004,2025-04-09,10:51:49,valencia,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250409-0005,2025-04-09,15:06:04,valencia,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250410-0001,2025-04-10,18:17:02,valencia,Lasagna,Pasta,25000,1,25000,25000,Tunai
-20250410-0002,2025-04-10,10:19:11,valencia,Smoothie Berrie,Smoothie,18000,3,54000,54000,Tunai
-20250410-0003,2025-04-10,12:29:53,valencia,Smoothie Kiwi,Smoothie,17000,3,51000,51000,Debit
-20250410-0004,2025-04-10,09:11:44,val,Latte,Kopi,15000,2,30000,30000,Tunai
-20250410-0005,2025-04-10,17:46:26,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250411-0001,2025-04-11,21:13:30,val,Kentang Goreng,Camilan,12000,5,60000,60000,Debit
-20250411-0002,2025-04-11,13:16:13,valencia,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Tunai
-20250411-0003,2025-04-11,12:48:54,val,Spagetti,Pasta,20000,2,40000,40000,QRIS
-20250411-0004,2025-04-11,16:35:12,val,Smoothie Kiwi,Smoothie,17000,1,17000,17000,Tunai
-20250411-0005,2025-04-11,19:08:28,val,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250412-0001,2025-04-12,13:54:37,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,Debit
-20250412-0002,2025-04-12,09:11:27,val,Mie Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250412-0003,2025-04-12,17:16:14,valencia,Gelato,Dessert,12000,2,24000,24000,QRIS
-20250412-0004,2025-04-12,09:03:47,valencia,Cheesecake,Dessert,15000,1,15000,15000,QRIS
-20250412-0005,2025-04-12,11:21:46,valencia,Latte,Kopi,15000,3,45000,45000,Debit
-20250413-0001,2025-04-13,17:34:15,val,Latte,Kopi,15000,5,75000,75000,Debit
-20250413-0002,2025-04-13,18:05:10,val,Americano,Kopi,12000,3,36000,36000,Debit
-20250413-0003,2025-04-13,13:22:21,valencia,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Debit
-20250413-0004,2025-04-13,16:03:12,valencia,Americano,Kopi,12000,4,48000,48000,Tunai
-20250413-0005,2025-04-13,13:12:37,valencia,Latte,Kopi,15000,2,30000,30000,Debit
-20250414-0001,2025-04-14,13:02:36,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,QRIS
-20250414-0002,2025-04-14,11:05:25,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250414-0003,2025-04-14,16:50:40,val,Espresso,Kopi,10000,4,40000,40000,Tunai
-20250414-0004,2025-04-14,18:30:58,val,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,QRIS
-20250414-0005,2025-04-14,12:48:43,valencia,Spagetti,Pasta,20000,3,60000,60000,Debit
-20250415-0001,2025-04-15,11:21:39,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,QRIS
-20250415-0002,2025-04-15,18:37:24,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,Debit
-20250415-0003,2025-04-15,17:47:47,val,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250415-0004,2025-04-15,15:23:38,valencia,Cheesecake,Dessert,15000,2,30000,30000,Tunai
-20250415-0005,2025-04-15,20:37:28,val,Lasagna,Pasta,25000,1,25000,25000,QRIS
-20250416-0001,2025-04-16,19:37:24,val,Kopi Tubruk,Kopi,8000,5,40000,40000,Debit
-20250416-0002,2025-04-16,13:46:57,val,Spagetti,Pasta,20000,3,60000,60000,Tunai
-20250416-0003,2025-04-16,21:36:23,val,Espresso,Kopi,10000,1,10000,10000,Debit
-20250416-0004,2025-04-16,12:44:11,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,QRIS
-20250416-0005,2025-04-16,10:05:36,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,QRIS
-20250417-0001,2025-04-17,15:42:59,val,Espresso,Kopi,10000,3,30000,30000,Tunai
-20250417-0002,2025-04-17,12:02:49,val,Gelato,Dessert,12000,4,48000,48000,QRIS
-20250417-0003,2025-04-17,18:44:12,val,Mie Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250417-0004,2025-04-17,20:52:49,val,Cappucino,Kopi,15000,1,15000,15000,Debit
-20250417-0005,2025-04-17,10:00:59,val,Kentang Goreng,Camilan,12000,5,60000,60000,Debit
-20250418-0001,2025-04-18,18:13:37,val,Gelato,Dessert,12000,3,36000,36000,Debit
-20250418-0002,2025-04-18,20:49:55,val,Smoothie Berrie,Smoothie,18000,4,72000,72000,QRIS
-20250418-0003,2025-04-18,21:18:37,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250418-0004,2025-04-18,19:48:34,valencia,Cappucino,Kopi,15000,5,75000,75000,Tunai
-20250418-0005,2025-04-18,17:22:59,valencia,Latte,Kopi,15000,3,45000,45000,QRIS
-20250419-0001,2025-04-19,13:34:22,val,Latte,Kopi,15000,4,60000,60000,QRIS
-20250419-0002,2025-04-19,11:45:17,valencia,Espresso,Kopi,10000,3,30000,30000,Tunai
-20250419-0003,2025-04-19,19:13:45,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,Debit
-20250419-0004,2025-04-19,20:13:34,valencia,Spagetti,Pasta,20000,5,100000,100000,Tunai
-20250419-0005,2025-04-19,15:08:22,val,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250420-0001,2025-04-20,17:21:39,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,QRIS
-20250420-0002,2025-04-20,11:21:51,val,Cheesecake,Dessert,15000,1,15000,15000,QRIS
-20250420-0003,2025-04-20,16:54:21,valencia,Spagetti,Pasta,20000,4,80000,80000,Debit
-20250420-0004,2025-04-20,17:53:11,valencia,Lasagna,Pasta,25000,4,100000,100000,Tunai
-20250420-0005,2025-04-20,21:11:28,valencia,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250421-0001,2025-04-21,13:45:03,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250421-0002,2025-04-21,19:44:46,valencia,Espresso,Kopi,10000,1,10000,10000,Tunai
-20250421-0003,2025-04-21,18:04:04,val,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Debit
-20250421-0004,2025-04-21,09:30:57,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250421-0005,2025-04-21,16:17:55,val,Lasagna,Pasta,25000,5,125000,125000,Tunai
-20250422-0001,2025-04-22,17:32:33,valencia,Americano,Kopi,12000,2,24000,24000,Tunai
-20250422-0002,2025-04-22,12:38:09,valencia,Smoothie Kiwi,Smoothie,17000,4,68000,68000,QRIS
-20250422-0003,2025-04-22,10:26:37,valencia,Americano,Kopi,12000,4,48000,48000,Tunai
-20250422-0004,2025-04-22,19:42:42,valencia,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Tunai
-20250422-0005,2025-04-22,10:21:52,valencia,Cappucino,Kopi,15000,2,30000,30000,Debit
-20250423-0001,2025-04-23,12:33:40,valencia,Americano,Kopi,12000,5,60000,60000,Debit
-20250423-0002,2025-04-23,15:16:41,val,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250423-0003,2025-04-23,19:42:25,valencia,Espresso,Kopi,10000,2,20000,20000,QRIS
-20250423-0004,2025-04-23,14:29:34,valencia,Smoothie Kiwi,Smoothie,17000,5,85000,85000,QRIS
-20250423-0005,2025-04-23,20:15:14,valencia,Nasi Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250424-0001,2025-04-24,14:03:21,valencia,Cappucino,Kopi,15000,1,15000,15000,QRIS
-20250424-0002,2025-04-24,16:35:02,val,Spagetti,Pasta,20000,5,100000,100000,Debit
-20250424-0003,2025-04-24,09:19:10,val,Smoothie Kiwi,Smoothie,17000,4,68000,68000,Debit
-20250424-0004,2025-04-24,11:50:43,val,Mie Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250424-0005,2025-04-24,16:36:13,valencia,Kentang Goreng,Camilan,12000,3,36000,36000,Debit
-20250425-0001,2025-04-25,13:10:33,valencia,Smoothie Berrie,Smoothie,18000,2,36000,36000,QRIS
-20250425-0002,2025-04-25,14:26:40,valencia,Spagetti,Pasta,20000,2,40000,40000,Debit
-20250425-0003,2025-04-25,14:20:59,valencia,Cheesecake,Dessert,15000,4,60000,60000,Debit
-20250425-0004,2025-04-25,20:48:52,val,Spagetti,Pasta,20000,2,40000,40000,Debit
-20250425-0005,2025-04-25,09:26:44,valencia,Cappucino,Kopi,15000,4,60000,60000,Debit
-20250426-0001,2025-04-26,11:39:20,val,Latte,Kopi,15000,1,15000,15000,Debit
-20250426-0002,2025-04-26,17:37:37,val,Espresso,Kopi,10000,1,10000,10000,Debit
-20250426-0003,2025-04-26,15:33:40,val,Espresso,Kopi,10000,2,20000,20000,Tunai
-20250426-0004,2025-04-26,16:02:23,valencia,Gelato,Dessert,12000,2,24000,24000,Debit
-20250426-0005,2025-04-26,15:31:45,val,Mie Goreng,Nasi dan Mie,15000,2,30000,30000,Tunai
-20250427-0001,2025-04-27,12:22:30,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Tunai
-20250427-0002,2025-04-27,11:01:33,val,Gelato,Dessert,12000,1,12000,12000,Debit
-20250427-0003,2025-04-27,17:26:01,valencia,Cheesecake,Dessert,15000,1,15000,15000,Debit
-20250427-0004,2025-04-27,13:11:22,valencia,Smoothie Alpukat,Smoothie,16000,2,32000,32000,Tunai
-20250427-0005,2025-04-27,14:06:58,val,Lasagna,Pasta,25000,3,75000,75000,Debit
-20250428-0001,2025-04-28,15:16:33,valencia,Cappucino,Kopi,15000,5,75000,75000,QRIS
-20250428-0002,2025-04-28,17:01:19,val,Nasi Goreng,Nasi dan Mie,15000,3,45000,45000,Tunai
-20250428-0003,2025-04-28,12:55:15,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Debit
-20250428-0004,2025-04-28,11:36:44,val,Cheesecake,Dessert,15000,2,30000,30000,Debit
-20250428-0005,2025-04-28,18:53:40,valencia,Spagetti,Pasta,20000,4,80000,80000,QRIS
-20250429-0001,2025-04-29,12:47:22,val,Smoothie Kiwi,Smoothie,17000,2,34000,34000,Debit
-20250429-0002,2025-04-29,15:02:30,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,QRIS
-20250429-0003,2025-04-29,21:44:12,val,Latte,Kopi,15000,5,75000,75000,QRIS
-20250429-0004,2025-04-29,21:11:22,valencia,Americano,Kopi,12000,1,12000,12000,QRIS
-20250429-0005,2025-04-29,16:10:42,valencia,Smoothie Berrie,Smoothie,18000,4,72000,72000,QRIS
-20250430-0001,2025-04-30,10:02:08,valencia,Americano,Kopi,12000,4,48000,48000,Tunai
-20250430-0002,2025-04-30,17:41:41,val,Americano,Kopi,12000,5,60000,60000,Tunai
-20250430-0003,2025-04-30,17:19:40,val,Cheesecake,Dessert,15000,4,60000,60000,Debit
-20250430-0004,2025-04-30,14:27:31,val,Espresso,Kopi,10000,1,10000,10000,QRIS
-20250430-0005,2025-04-30,15:02:02,val,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250501-0001,2025-05-01,14:56:37,val,Nasi Goreng,Nasi dan Mie,15000,5,75000,75000,Debit
-20250501-0002,2025-05-01,12:55:15,valencia,Spagetti,Pasta,20000,2,40000,40000,Tunai
-20250501-0003,2025-05-01,14:55:20,val,Kentang Goreng,Camilan,12000,3,36000,36000,Tunai
-20250501-0004,2025-05-01,20:07:17,val,Latte,Kopi,15000,1,15000,15000,Tunai
-20250501-0005,2025-05-01,17:24:13,valencia,Nasi Goreng,Nasi dan Mie,15000,1,15000,15000,Tunai
-20250502-0001,2025-05-02,10:06:37,val,Smoothie Alpukat,Smoothie,16000,4,64000,64000,Tunai
-20250502-0002,2025-05-02,10:31:19,valencia,Americano,Kopi,12000,3,36000,36000,Tunai
-20250502-0003,2025-05-02,18:24:48,valencia,Gelato,Dessert,12000,3,36000,36000,QRIS
-20250502-0004,2025-05-02,16:55:49,val,Lasagna,Pasta,25000,4,100000,100000,QRIS
-20250502-0005,2025-05-02,19:41:09,val,Americano,Kopi,12000,4,48000,48000,Debit
-20250503-0001,2025-05-03,11:45:38,valencia,Smoothie Berrie,Smoothie,18000,1,18000,18000,Tunai
-20250503-0002,2025-05-03,20:59:04,val,Latte,Kopi,15000,4,60000,60000,Debit
-20250503-0003,2025-05-03,10:39:59,valencia,Lasagna,Pasta,25000,5,125000,125000,Debit
-20250503-0004,2025-05-03,16:14:35,valencia,Nasi Goreng,Nasi dan Mie,15000,4,60000,60000,Debit
-20250503-0005,2025-05-03,09:43:42,val,Lasagna,Pasta,25000,3,75000,75000,Debit
-20250504-0001,2025-05-04,19:26:02,valencia,Americano,Kopi,12000,5,60000,60000,Debit
-20250504-0002,2025-05-04,16:58:32,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250504-0003,2025-05-04,11:39:05,val,Spagetti,Pasta,20000,2,40000,40000,Debit
-20250504-0004,2025-05-04,09:07:30,val,Espresso,Kopi,10000,5,50000,50000,Tunai
-20250504-0005,2025-05-04,19:21:24,val,Kopi Tubruk,Kopi,8000,4,32000,32000,Tunai
-20250505-0001,2025-05-05,13:17:04,val,Americano,Kopi,12000,5,60000,60000,Tunai
-20250505-0002,2025-05-05,16:52:12,valencia,Kentang Goreng,Camilan,12000,2,24000,24000,QRIS
-20250505-0003,2025-05-05,19:12:44,valencia,Smoothie Kiwi,Smoothie,17000,1,17000,17000,QRIS
-20250505-0004,2025-05-05,13:43:55,val,Smoothie Alpukat,Smoothie,16000,5,80000,80000,Tunai
-20250505-0005,2025-05-05,11:43:12,val,Americano,Kopi,12000,4,48000,48000,QRIS
-20250506-0001,2025-05-06,12:32:08,val,Cappucino,Kopi,15000,4,60000,60000,Debit
-20250506-0002,2025-05-06,13:38:52,val,Cappucino,Kopi,15000,4,60000,60000,Tunai
-20250506-0003,2025-05-06,11:01:48,val,Smoothie Kiwi,Smoothie,17000,1,17000,17000,Debit
-20250506-0004,2025-05-06,17:30:56,val,Cappucino,Kopi,15000,4,60000,60000,QRIS
-20250506-0005,2025-05-06,10:21:15,valencia,Mie Goreng,Nasi dan Mie,15000,4,60000,60000,Tunai
-20250507-0001,2025-05-07,10:58:43,valencia,Smoothie Berrie,Smoothie,18000,3,54000,54000,Debit
-20250507-0002,2025-05-07,16:41:22,val,Kopi Tubruk,Kopi,8000,1,8000,8000,Debit
-20250507-0003,2025-05-07,10:32:04,valencia,Cheesecake,Dessert,15000,5,75000,75000,QRIS
-20250507-0004,2025-05-07,20:04:36,valencia,Americano,Kopi,12000,3,36000,36000,Debit
-20250507-0005,2025-05-07,18:26:16,valencia,Cheesecake,Dessert,15000,4,60000,60000,Debit
-20250508-0001,2025-05-08,13:48:53,val,Smoothie Berrie,Smoothie,18000,3,54000,54000,Tunai
-20250508-0002,2025-05-08,16:52:43,val,Americano,Kopi,12000,4,48000,48000,QRIS
-20250508-0003,2025-05-08,21:44:23,valencia,Americano,Kopi,12000,3,36000,36000,QRIS
-20250508-0004,2025-05-08,20:43:57,valencia,Cheesecake,Dessert,15000,4,60000,60000,QRIS
-20250508-0005,2025-05-08,09:46:56,val,Kopi Tubruk,Kopi,8000,2,16000,16000,Tunai
-20250509-0001,2025-05-09,19:24:57,val,Smoothie Alpukat,Smoothie,16000,1,16000,16000,Tunai
-20250509-0002,2025-05-09,21:23:20,val,Kopi Tubruk,Kopi,8000,2,16000,16000,QRIS
-20250509-0003,2025-05-09,10:08:22,valencia,Kentang Goreng,Camilan,12000,5,60000,60000,Tunai
